,threshold,net_benefit,Model
0,0.01,0.36620591883749776,LR
1,0.03,0.3643516006511123,LR
2,0.05,0.3619575253924284,LR
3,0.06999999999999999,0.36115827202414635,LR
4,0.09,0.358877964141122,LR
5,0.11,0.35974768381628225,LR
6,0.13,0.36055656382335144,LR
7,0.15000000000000002,0.3591331269349845,LR
8,0.17,0.35066582117945466,LR
9,0.19,0.3514186701321204,LR
10,0.21000000000000002,0.3503220075505219,LR
11,0.23,0.34916837548416496,LR
12,0.25,0.347953216374269,LR
13,0.27,0.349915885604422,LR
14,0.29000000000000004,0.34890042006424515,LR
15,0.31,0.351767098906687,LR
16,0.33,0.35100811730819587,LR
17,0.35000000000000003,0.3502024291497976,LR
18,0.37,0.35449735449735453,LR
19,0.39,0.35964912280701755,LR
